date,return_0cost,return_001,return_002
2025-01-27,0.018988132835157323,0.018988132835157323,0.018988132835157323
2025-02-28,0.08253629544630559,0.08253629544630559,0.08253629544630559
2025-03-31,0.04282877456411405,0.04282877456411405,0.04282877456411405
2025-04-30,0.03139028239005448,0.03139028239005448,0.03139028239005448
2025-05-30,0.043938196298266785,0.043938196298266785,0.043938196298266785
2025-06-30,0.07168816744237128,0.07168816744237128,0.07168816744237128
2025-07-31,0.05230316644392219,0.05230316644392219,0.05230316644392219
2025-08-29,0.03982077248333016,0.03982077248333016,0.03982077248333016
2025-09-30,-0.009738935476336419,-0.009738935476336419,-0.009738935476336419
2025-10-31,0.0141598419425768,0.0141598419425768,0.0141598419425768
2025-11-28,-0.0049265014820568664,-0.0049265014820568664,-0.0049265014820568664
2025-12-31,0.03451451480680667,0.03451451480680667,0.03451451480680667
