Date,Portfolio_Return,Cumulative_Wealth,Drawdown,Monthly_Turnover,Net_Return_0bps,Net_Return_10bps,Net_Return_20bps,Net_Return_50bps
2005-07-01,-0.08602950000000001,0.9139705,0.0,0.5,-0.08602950000000001,-0.08652950000000001,-0.08702950000000001,-0.08852950000000001
2005-08-01,0.24728672,1.13998326712176,0.0,0.42,0.24728672,0.24686672,0.24644672,0.24518672
2005-09-01,0.048925,1.195756948465692,0.0,0.35,0.048925,0.048575,0.048225,0.047175
2005-10-01,-0.10081162,1.075210753364609,-0.1008116199999999,0.44,-0.10081162,-0.10125162,-0.10169162,-0.10301162
2005-11-01,0.01006557,1.086033362467354,-0.09176077641792323,0.5700000000000001,0.01006557,0.009495570000000004,0.008925570000000002,0.007215570000000003
2005-12-01,0.01658719,1.104047604196939,-0.07669563985091474,0.32,0.01658719,0.01626719,0.01594719,0.01498719
2006-01-01,0.15747051,1.277902543494109,0.0,0.38,0.15747051,0.15709051,0.15671051,0.15557051
2006-02-01,0.05012696999999999,1.341959925954762,0.0,0.5900000000000001,0.05012696999999999,0.04953696999999999,0.04894696999999999,0.04717696999999999
2006-03-01,-0.03155205,1.299618339273041,-0.03155205000000001,0.54,-0.03155205,-0.03209205,-0.03263205,-0.03425205
2006-04-01,-0.05963699,1.222113013369998,-0.0893073707096705,0.56,-0.05963699,-0.06019699,-0.06075699,-0.06243699
2006-05-01,0.31071782,1.601845304677954,0.0,0.41,0.31071782,0.31030782,0.30989782,0.30866782
2006-06-01,0.04737677999999999,1.677735577271715,0.0,0.51,0.04737677999999999,0.04686678,0.04635677999999999,0.04482678
2006-07-01,-0.01629989,1.650388671913099,-0.01629989000000003,0.3100000000000001,-0.01629989,-0.01660989000000001,-0.01691989,-0.01784989
2006-08-01,0.005711710000000002,1.659815213394352,-0.010681280244712,0.5800000000000001,0.005711710000000002,0.005131710000000002,0.004551710000000001,0.002811710000000002
2006-09-01,0.25377076,2.081027781556999,0.0,0.27,0.25377076,0.25350076,0.2532307600000001,0.25242076
2006-10-01,0.01707647,2.116564390037923,0.0,0.5700000000000001,0.01707647,0.01650647,0.01593647,0.01422647
2006-11-01,0.05915767,2.241775407757538,0.0,0.6000000000000001,0.05915767,0.05855766999999999,0.05795767,0.05615766999999999
2006-12-01,0.02602701,2.300122118712998,0.0,0.56,0.02602701,0.02546701,0.02490701,0.02322701
2007-01-01,0.24016111,2.852521999878663,0.0,0.49,0.24016111,0.23967111,0.23918111,0.23771111
2007-02-01,0.24321977,3.546311744609092,0.0,0.51,0.24321977,0.24270977,0.24219977,0.24066977
2007-03-01,0.2018197,4.262027317012575,0.0,0.5700000000000001,0.2018197,0.2012497,0.2006797,0.1989697
