date,daily_return,portfolio_value,position_scalar,sentiment_score
2022-02-07,0.0,100000000.0,0.8,1.004473945873933
2022-02-08,0.011364474537444932,101136447.45374449,1.0,1.004473945873933
2022-02-09,0.012025234537444932,102352636.95465975,1.0,1.004473945873933
2022-02-10,-0.0027872088105726864,102067358.78315437,0.8,1.5045758919178212
2022-02-11,-0.016899337444933916,100342488.0449647,0.8,1.5045758919178212
2022-02-14,5.306960352422971e-06,100343020.55857043,0.8,1.4383010869154411
2022-02-15,0.004379183964757708,100782441.10517588,0.8,1.4383010869154411
2022-02-16,0.010381825374449337,101828746.80954055,0.8,1.4383010869154411
2022-02-17,-0.00204165885462555,101620847.24696143,0.8,1.3319177733946512
2022-02-18,0.006124975682819383,102243272.46521658,1.0,1.3319177733946512
2022-02-21,0.011242909251101321,103392784.29907863,1.0,1.3319177733946512
2022-02-22,-0.00874907718061674,102488192.84932713,1.0,1.3319177733946512
2022-02-23,0.01405385603524229,103928547.15694372,1.0,1.3319177733946512
2022-02-24,-0.019540938325991186,101897685.82664001,1.0,1.3319177733946512
2022-02-25,0.008336782907488986,102747184.71215223,1.0,1.3319177733946512
2022-02-28,-1.2458325991189387e-05,102745904.65423042,1.0,1.3319177733946512
2022-03-01,0.006913427665198236,103456231.0339528,0.8,0.938690866546212
2022-03-02,0.0034901813215859026,103817312.03910919,1.0,0.938690866546212
2022-03-03,-0.0017915973568281935,103631313.2172669,1.0,0.938690866546212
2022-03-04,-0.009277976211453745,102669824.35847539,1.2,-1.3173948121964938
2022-03-07,-0.012516337797356824,101384774.1552094,0.8,-1.2949854277963224
2022-03-08,-0.025943018854625542,98754547.04772885,0.8,-1.2949854277963224
2022-03-09,-0.011479597533039643,97620884.5930633,0.8,-1.2949854277963224
2022-03-10,0.014526817444933922,99039005.3623597,1.2,-1.2403604867825753
2022-03-11,0.005926097268722464,99625920.14153458,0.8,1.4585654949348787
2022-03-14,-0.022071690925110132,97427007.62404092,1.0,0.9768893090134756
2022-03-15,-0.04206346502202643,93328890.09664637,1.0,0.9768893090134756
2022-03-16,0.02541878731277533,95701197.3041504,1.0,0.9768893090134756
2022-03-17,0.01645162502202643,97275637.51635724,1.0,0.9768893090134756
2022-03-18,0.010902959118942731,98336229.81546718,1.2,-1.263997431988956
2022-03-21,0.011063345374449335,99424157.48873691,0.8,1.4516922811711757
2022-03-22,-0.0011444999118942725,99310366.5492509,0.8,1.4516922811711757
2022-03-23,0.0024759920704845806,99556258.22934377,0.8,1.4516922811711757
2022-03-24,-0.00946682660792951,98613776.39495231,0.8,1.4516922811711757
2022-03-25,-0.0037160599118942718,98247321.69373052,0.8,1.4516922811711757
2022-03-28,-0.003635125991189426,97890180.30107689,0.8,1.4870784051777537
2022-03-29,-0.007486469603524225,97157328.44176938,0.8,1.4870784051777537
2022-03-30,0.01327568123348017,98447158.16365884,0.8,1.4870784051777537
2022-03-31,-0.0018334405286343604,98266661.15395272,0.8,1.4870784051777537
2022-04-01,-0.001275976563876651,98141275.19730987,0.8,1.4870784051777537
2022-04-06,0.008006215682819381,98927015.41392645,1.0,1.0012769844197926
2022-04-07,-0.01893276123348017,97054053.85155377,0.8,1.3839235620705346
2022-04-08,-0.0058425006167400866,96487015.48206894,0.8,1.3839235620705346
2022-04-11,-0.02453473533039647,94119732.0943965,0.8,1.3839235620705346
