date,daily_return,portfolio_value,position_scalar,sentiment_score
2022-02-28,0.027459046542304577,102745904.65423042,0.8375,1.3120511918350608
2022-03-31,-0.043595348304651615,98266661.1539527,0.8130434782608695,0.5948809279494486
2022-04-30,-0.1291768365302829,85572884.72969188,0.7736842105263159,0.46744539163036974
2022-05-31,0.09098994565372975,93359156.86067942,0.9368421052631579,0.9709047870806402
2022-06-30,0.06862234041247173,99765680.7033943,0.8095238095238095,0.22675218857757148
2022-07-31,0.027159726354954783,102475289.29091425,0.8285714285714285,-0.04726861875697185
2022-08-31,-0.020420012291049727,100382742.62406488,0.8347826086956521,-0.10503213998897612
2022-09-30,-0.059405756622181505,94419429.84667261,0.7761904761904762,0.21096268282537328
2022-10-31,-0.029545552096931993,91629755.6631751,0.86875,0.3913638968719112
2022-11-30,0.23533998699187708,113193901.16901565,0.7909090909090909,0.7284161756384343
2022-12-31,-0.0040918690694473625,112730726.54597211,0.85,0.013456033710370378
2023-01-31,0.1210727922287913,126379350.3788733,0.8250000000000001,-0.38368705654806795
2023-02-28,-0.0037876633874298626,125900667.94051607,0.905,0.7494791040033738
2023-03-31,-0.07466677276446299,116500071.37650745,0.9565217391304348,0.4580457298921432
2023-04-30,-0.10965706221923477,103725015.80102849,0.8578947368421053,-0.4534008415220723
2023-05-31,-0.0969469952139358,93669187.19060074,0.89,0.7100167426776445
2023-06-30,0.03579031306699276,97021636.72488311,0.8150000000000001,-0.1945025306579224
2023-07-31,0.1151252038048316,108191272.42631362,0.8761904761904761,0.26213362112478367
2023-08-31,-0.026200095742019758,105356650.73029327,0.8478260869565217,0.4242102443136632
2023-09-30,0.0049329457133269194,105876369.3688838,0.875,0.5123118681427806
2023-10-31,-0.022334400511647257,103511684.13068001,0.7000000000000001,0.37304345791314486
2023-11-30,0.02511034733298012,106110898.47222309,0.8090909090909091,-0.32380775259035244
2023-12-31,-0.012522097135502563,104782167.49441844,0.8714285714285714,0.06256736195862836
2024-01-31,-0.15404388127701507,88641115.72495995,0.8,0.3938399859643065
2024-02-29,0.13432986181518958,100548264.55143814,0.86,0.12388489945544977
2024-03-31,0.032450522190429654,103811108.24147375,0.7666666666666667,0.29732133711338676
2024-04-30,-0.14722177711820195,88527852.40155396,0.89,0.2602197110021736
2024-05-31,-0.09324822889256379,80272786.95744675,0.825,-0.16481287089765806
2024-06-30,-0.20354173123572994,63933924.92901109,0.8894736842105262,-0.271397805432858
2024-07-31,0.06866816223445693,68324150.05832203,0.8260869565217391,-0.4926918004031718
2024-08-31,0.026672034757203367,70146494.16343394,0.8409090909090909,-1.05665021689921
2024-09-30,0.13864665916191599,79872071.23111486,0.8736842105263158,0.5060464093798978
2024-10-31,0.09009737218065972,87068334.95966478,0.8277777777777778,0.8232864494069241
2024-11-30,0.0580863218494061,92125814.28702374,0.8428571428571429,0.3854701462987071
2024-12-31,-0.0012184855565496866,92013560.31292956,0.7772727272727273,-0.2597427060338572
2025-01-31,-0.005764830713075431,91483117.71441819,0.8555555555555556,0.18435567295552102
2025-02-28,0.03985875220521251,95129520.63435744,0.8722222222222222,0.7433401497285277
2025-03-31,-0.004812485475249151,94671711.19803719,0.7857142857142857,0.058079552689799065
2025-04-30,-0.043551815895739865,90548586.26140563,0.9047619047619048,0.5156011600981056
2025-05-31,0.13058953859604583,102373284.36180685,0.9157894736842105,-0.41128268958931713
2025-06-30,0.031640599098326394,105612436.41067776,0.86,0.0802741963482636
2025-07-31,0.010083742711437527,106677405.04657105,0.8608695652173913,-0.007745587646192197
2025-08-31,0.08387331970787115,115624793.14564821,0.6952380952380952,0.3740422371516988
2025-09-30,-0.02143526695115383,113146344.8383993,0.8363636363636363,0.0638069502762245
2025-10-31,0.03376735703722433,116966997.86201446,0.8058823529411765,0.5761948449436053
2025-11-30,-0.006223128547358958,116239097.19852047,0.845,0.4295339447612273
2025-12-31,0.029062967229281922,119617350.27116236,0.8608695652173913,0.1981601862403584
2026-01-31,0.06107506391129469,126922987.5838733,0.8550000000000001,0.583789459182517
2026-02-28,0.021917341940497215,129704802.10285851,0.8642857142857142,0.7418076034149687
2026-03-31,-0.10098973253627141,116605948.8298208,0.8409090909090909,-0.0523730396625918
2026-04-30,-0.007989761439157417,115674295.11628392,0.8,-0.1335114335347423
