year,annual_return
2006,1.7048127318503057
2007,2.1775212514413624
2008,-0.47095265042056467
2009,0.9803532807381425
2010,0.07989737100831418
2011,-0.2513285649491831
2012,0.1926559140878037
2013,0.13704202959310074
2014,0.3266397847260345
2015,0.5117024751826837
2016,0.1323863514573893
2017,-0.2684962065691291
2018,-0.41078381140964426
2019,0.20995856874006713
2020,-0.018052446658224586
2021,0.10903556904859735
2022,0.16106141443262412
2023,-0.34393770425867976
2024,0.9809211728334306
2025,0.22096576767216347
