date,return_0cost,return_001,return_002
2022-02-28,0.027459046542304577,0.027459046542304577,0.027459046542304577
2022-03-31,-0.043595348304651504,-0.043595348304651504,-0.043595348304651504
2022-04-29,-0.1291768365302829,-0.1291768365302829,-0.1291768365302829
2022-05-31,0.09098994565372975,0.09098994565372975,0.09098994565372975
2022-06-30,0.06862234041247173,0.06862234041247173,0.06862234041247173
2022-07-29,0.027159726354954783,0.027159726354954783,0.027159726354954783
2022-08-31,-0.020420012291049727,-0.020420012291049727,-0.020420012291049727
2022-09-30,-0.059405756622181505,-0.059405756622181505,-0.059405756622181505
2022-10-31,-0.029545552096931993,-0.029545552096931993,-0.029545552096931993
2022-11-30,0.23533998699187708,0.23533998699187708,0.23533998699187708
2022-12-30,-0.0040918690694473625,-0.0040918690694473625,-0.0040918690694473625
2023-01-31,0.1210727922287913,0.1210727922287913,0.1210727922287913
2023-02-28,-0.0037876633874298626,-0.0037876633874298626,-0.0037876633874298626
2023-03-31,-0.07466677276446299,-0.07466677276446299,-0.07466677276446299
2023-04-28,-0.10965706221923477,-0.10965706221923477,-0.10965706221923477
2023-05-31,-0.0969469952139358,-0.0969469952139358,-0.0969469952139358
2023-06-30,0.03579031306699276,0.03579031306699276,0.03579031306699276
2023-07-31,0.1151252038048316,0.1151252038048316,0.1151252038048316
2023-08-31,-0.026200095742019758,-0.026200095742019758,-0.026200095742019758
2023-09-28,0.0049329457133269194,0.0049329457133269194,0.0049329457133269194
2023-10-31,-0.022334400511647257,-0.022334400511647257,-0.022334400511647257
2023-11-30,0.02511034733298012,0.02511034733298012,0.02511034733298012
2023-12-29,-0.012522097135502563,-0.012522097135502563,-0.012522097135502563
2024-01-31,-0.15404388127701507,-0.15404388127701507,-0.15404388127701507
2024-02-29,0.13432986181518958,0.13432986181518958,0.13432986181518958
2024-03-29,0.032450522190429654,0.032450522190429654,0.032450522190429654
2024-04-30,-0.14722177711820195,-0.14722177711820195,-0.14722177711820195
2024-05-31,-0.09324822889256379,-0.09324822889256379,-0.09324822889256379
2024-06-28,-0.20354173123572994,-0.20354173123572994,-0.20354173123572994
2024-07-31,0.06866816223445693,0.06866816223445693,0.06866816223445693
2024-08-30,0.026672034757203367,0.026672034757203367,0.026672034757203367
2024-09-30,0.13864665916191599,0.13864665916191599,0.13864665916191599
2024-10-31,0.09009737218065972,0.09009737218065972,0.09009737218065972
2024-11-29,0.0580863218494061,0.0580863218494061,0.0580863218494061
2024-12-31,-0.0012184855565496866,-0.0012184855565496866,-0.0012184855565496866
2025-01-27,-0.005764830713075431,-0.005764830713075431,-0.005764830713075431
2025-02-28,0.03985875220521251,0.03985875220521251,0.03985875220521251
2025-03-31,-0.004812485475249151,-0.004812485475249151,-0.004812485475249151
2025-04-30,-0.043551815895739865,-0.043551815895739865,-0.043551815895739865
2025-05-30,0.13058953859604583,0.13058953859604583,0.13058953859604583
2025-06-30,0.031640599098326394,0.031640599098326394,0.031640599098326394
2025-07-31,0.010083742711437527,0.010083742711437527,0.010083742711437527
2025-08-29,0.08387331970787115,0.08387331970787115,0.08387331970787115
2025-09-30,-0.02143526695115383,-0.02143526695115383,-0.02143526695115383
2025-10-31,0.03376735703722433,0.03376735703722433,0.03376735703722433
2025-11-28,-0.006223128547358958,-0.006223128547358958,-0.006223128547358958
2025-12-31,0.029062967229281922,0.029062967229281922,0.029062967229281922
2026-01-30,0.06107506391129469,0.06107506391129469,0.06107506391129469
2026-02-27,0.021917341940497215,0.021917341940497215,0.021917341940497215
2026-03-31,-0.10098973253627141,-0.10098973253627141,-0.10098973253627141
2026-04-10,-0.007989761439157417,-0.007989761439157417,-0.007989761439157417
