date,monthly_return,nav,num_stocks,year
2006-02-01,0.033727520000000004,1.03372752,100,2006
2006-03-01,0.019842300000000007,1.0542390515700961,100,2006
2006-04-01,0.10839888,1.1685173840125567,100,2006
2006-05-01,0.26670423000000004,1.48016591315724,100,2006
2006-06-01,0.06869149000000001,1.5818407151792213,100,2006
2006-07-01,-0.00638962,1.571733354108698,100,2006
2006-08-01,0.022020520000000002,1.6063437398675158,100,2006
2006-09-01,0.15002167000000005,1.8473301103164863,100,2006
2006-10-01,0.0139628,1.8731240111808134,100,2006
2006-11-01,0.10759157000000004,2.074656364348455,100,2006
2006-12-01,0.04661663000000001,2.171369852462432,100,2006
2007-01-01,0.25229877000000006,2.7192037954537853,100,2007
2007-02-01,0.17641495,3.198911997068575,100,2007
2007-03-01,0.17702205000000004,3.7651899565592486,100,2007
2007-04-01,0.28746865000000005,4.847564030364895,100,2007
2007-05-01,0.14944606000000002,5.572013375300649,100,2007
2007-06-01,-0.008190210000000002,5.526377415634128,100,2007
2007-07-01,0.21883909000000004,6.735764820268053,100,2007
2007-08-01,0.1804833,7.951457883053939,100,2007
2007-09-01,0.10074034000000001,8.752490453688473,100,2007
2007-10-01,-0.053733550000000005,8.282188070270681,100,2007
2007-11-01,-0.04132041,7.939964663509988,100,2007
2007-12-01,0.14854504000000002,9.119407032049667,100,2007
2008-01-01,-0.07934292000000001,8.395846649458313,100,2008
2008-02-01,0.04642607000000001,8.785632813715331,100,2008
2008-03-01,-0.09900514,7.9158100070048505,100,2008
2008-04-01,0.011498659999999997,8.006831214899996,100,2008
2008-05-01,-0.06816865000000001,7.461016340202403,100,2008
2008-06-01,-0.24534113000000005,5.630522160348681,100,2008
2008-07-01,0.10269095000000003,6.208725829990939,100,2008
2008-08-01,-0.27125040000000006,4.524606465115565,100,2008
2008-09-01,-0.09290918000000002,4.10422898861898,100,2008
2008-10-01,-0.29352923000000003,2.8995178138459714,100,2008
2008-11-01,0.21510311000000001,3.523213113104641,100,2008
2008-12-01,0.07556908000000002,3.7894590867058944,100,2008
2009-01-01,0.21291840000000004,4.596304652312774,100,2009
2009-02-01,0.09295607000000004,5.023559069314486,100,2009
2009-03-01,0.20657097000000002,6.061280539115077,100,2009
2009-04-01,0.06686538,6.466570365649612,100,2009
2009-05-01,0.024148080000000002,6.622725624164948,100,2009
2009-06-01,0.053577840000000015,6.977556958020358,100,2009
2009-07-01,0.11455973000000003,7.776903999190792,100,2009
2009-08-01,-0.13756761,6.707053902822673,100,2009
2009-09-01,0.05651868000000001,7.086127736099058,100,2009
2009-10-01,0.13114613,8.015445965374111,100,2009
2009-11-01,0.15108881000000007,9.226490157901788,100,2009
2009-12-01,0.0141908,9.35742143443454,100,2009
2010-01-01,-0.08553186000000003,8.557063774343487,100,2010
2010-02-01,0.04395585000000001,8.933196786048962,100,2010
2010-03-01,0.04676314,9.350941118002519,100,2010
2010-04-01,-0.08820463000000003,8.52614481653732,100,2010
2010-05-01,-0.10439202000000002,7.636083336326459,100,2010
2010-06-01,-0.06995132000000001,7.1019292273204195,100,2010
2010-07-01,0.20117274000000004,8.530643789266552,100,2010
2010-08-01,0.09149611000000002,9.3111645117801,100,2010
2010-09-01,0.007940190000000005,9.385096927124891,100,2010
2010-10-01,0.08412376000000002,10.174606568599083,100,2010
2010-11-01,0.04815697000000001,10.664584791884911,100,2010
2010-12-01,-0.033038620000000005,10.312241627488046,100,2010
2011-01-01,-0.06291750000000002,9.663421164890567,100,2011
2011-02-01,0.08763320000000002,10.510257684517654,100,2011
2011-03-01,-0.049929450000000014,9.985486298971415,100,2011
2011-04-01,-0.02022797,9.78350018168041,100,2011
2011-05-01,-0.07001505000000002,9.098507927285045,100,2011
2011-06-01,0.050715560000000014,9.559943851981744,100,2011
2011-07-01,0.04699657,10.009228422417474,100,2011
2011-08-01,-0.04792948000000001,9.529491308929785,100,2011
2011-09-01,-0.13019898000000002,8.288761260588261,100,2011
2011-10-01,0.04583543000000002,8.668680197134668,100,2011
2011-11-01,-0.06482817,8.106705523639189,100,2011
2011-12-01,-0.16545790000000005,6.765387051779448,100,2011
2012-01-01,0.04804362000000001,7.090420736448061,100,2012
2012-02-01,0.16596021000000005,8.267148450857336,100,2012
2012-03-01,-0.09994522,7.440886480163741,100,2012
2012-04-01,0.0545131,7.846512268945555,100,2012
2012-05-01,0.05622087000000002,8.287650015171348,100,2012
2012-06-01,-0.04043897000000002,7.952505984837334,100,2012
2012-07-01,-0.10662692000000001,7.104554765392562,100,2012
2012-08-01,0.049683540000000005,7.4575341962611335,100,2012
2012-09-01,0.01874742,7.597343722002803,100,2012
2012-10-01,0.004341490000000001,7.630327513798441,100,2012
2012-11-01,-0.09160470000000002,6.93135365099519,100,2012
2012-12-01,0.22638374000000006,8.500499413770136,100,2012
2013-01-01,0.07437802000000002,9.132749729177519,100,2013
2013-02-01,0.040763250000000015,9.505030289575414,100,2013
2013-03-01,-0.021859600000000007,9.29725412945741,100,2013
2013-04-01,-0.027851410000000007,9.0383124928237,100,2013
2013-05-01,0.14487567000000004,10.347744070890903,100,2013
2013-06-01,-0.14525404000000006,8.844692439707952,100,2013
2013-07-01,0.07257385000000001,9.48658582212345,100,2013
2013-08-01,0.07458096,10.194104499859806,100,2013
2013-09-01,0.03141304,10.514332312278082,100,2013
2013-10-01,-0.023625210000000004,10.265929003390728,100,2013
2013-11-01,0.05944762000000001,10.876214049731278,100,2013
2013-12-01,-0.03080688000000001,10.541151828646893,100,2013
2014-01-01,0.07667154000000001,11.349358172723067,100,2014
2014-02-01,0.026552390000000006,11.650710757174897,100,2014
2014-03-01,-0.05126996,11.053379282682972,100,2014
2014-04-01,-0.013087560000000007,10.9087175181181,100,2014
2014-05-01,0.06140637000000001,11.578582262261143,100,2014
2014-06-01,0.06459716,12.326525793229587,100,2014
2014-07-01,0.04067132000000001,12.827861868254281,100,2014
2014-08-01,0.07851284000000003,13.835013734658633,100,2014
2014-09-01,0.11133229000000003,15.37529749591963,100,2014
2014-10-01,0.014101790000000003,15.592116712394615,100,2014
2014-11-01,0.06583155000000002,16.618569923352457,100,2014
2014-12-01,-0.12107586000000002,14.606462277912422,100,2014
2015-01-01,0.12750063,16.468795420417493,100,2015
2015-02-01,0.10197914000000002,18.14826901422761,100,2015
2015-03-01,0.20911807000000002,21.94340000432369,100,2015
2015-04-01,0.27757531,28.03434606297784,100,2015
2015-05-01,0.5474452100000001,43.38161453063742,100,2015
2015-06-01,-0.13605318000000002,37.479407920209994,100,2015
2015-07-01,-0.07755472000000001,34.572702933192325,100,2015
2015-08-01,-0.17178475000000004,28.633639802989613,100,2015
2015-09-01,0.016130440000000003,29.09551301181335,100,2015
2015-10-01,0.29339609000000005,37.63202276602351,100,2015
2015-11-01,0.12448602,42.316683504715165,100,2015
2015-12-01,0.011624320000000004,42.808586175112694,100,2015
2016-01-01,-0.30293873000000004,29.840207446128495,100,2016
2016-02-01,-0.009658930000000005,29.551982971220863,100,2016
2016-03-01,0.18387652000000007,34.98589875906822,100,2016
2016-04-01,-0.020664899999999996,34.262918659801954,100,2016
2016-05-01,-0.003143910000000001,34.155199127198216,100,2016
2016-06-01,0.06803392000000001,36.478911212202085,100,2016
2016-07-01,-0.019428080000000007,35.77019600685853,100,2016
2016-08-01,0.04733852000000001,37.46350414593312,100,2016
2016-09-01,-0.014894580000000004,36.90550098635119,100,2016
2016-10-01,0.027174250000000007,37.90838029652955,100,2016
2016-11-01,0.02923000000000001,39.01644225259711,100,2016
2016-12-01,-0.08410709000000001,35.73488283257812,100,2016
2017-01-01,-0.07560104000000002,33.03328852615707,100,2017
2017-02-01,0.04724382,34.5939072632949,100,2017
2017-03-01,-0.03160319,33.50062943921061,100,2017
2017-04-01,-0.10018758000000001,30.144282447219343,100,2017
2017-05-01,-0.10980686000000002,26.83423344473707,100,2017
2017-06-01,0.037659090000000006,27.844786257113434,100,2017
2017-07-01,-0.05375640000000002,26.34795078916154,100,2017
2017-08-01,0.06221602000000001,27.98721542241903,100,2017
2017-09-01,0.013828160000000004,28.37422711523471,100,2017
2017-10-01,-0.017619390000000002,27.874290541742816,100,2017
2017-11-01,-0.11850127000000002,24.571151712197306,100,2017
2017-12-01,-0.04060412,23.57346171953704,100,2017
2018-01-01,-0.03579259000000001,22.729706469328956,100,2018
2018-02-01,-0.032675700000000016,21.986997399649105,100,2018
2018-03-01,0.06455679000000002,23.4064073735088,100,2018
2018-04-01,-0.05276811000000001,22.171295494518674,100,2018
2018-05-01,-0.003867309999999999,22.085552221739768,100,2018
2018-06-01,-0.08409804000000001,20.228200567573808,100,2018
2018-07-01,-0.000906050000000003,20.209872806449557,100,2018
2018-08-01,-0.11212130000000003,17.943915594555783,100,2018
2018-09-01,-0.014349970000000004,17.686420944091374,100,2018
2018-10-01,-0.10536054,15.822970082754598,100,2018
2018-11-01,0.07106093000000001,16.947365052197316,100,2018
2018-12-01,-0.02606846,16.505573344228715,100,2018
2019-01-01,-0.05584086000000001,15.583887933893907,100,2019
2019-02-01,0.26675047,19.740897364687438,100,2019
2019-03-01,0.11296118000000004,21.970852425261423,100,2019
2019-04-01,-0.04391708000000001,21.00595674163302,100,2019
2019-05-01,-0.024084180000000004,20.500045498395316,100,2019
2019-06-01,-0.015853020000000006,20.175057867108347,100,2019
2019-07-01,-0.034222390000000005,19.484619168507596,100,2019
2019-08-01,0.00654421,19.612130608116335,100,2019
2019-09-01,0.019247660000000003,19.98961822993695,100,2019
2019-10-01,-0.0033257899999999977,19.923136957524008,100,2019
2019-11-01,-0.05638413000000001,18.79978821330317,100,2019
2019-12-01,0.07859845000000001,20.27742242719707,100,2019
2020-01-01,-0.029881030000000006,19.67151215932732,100,2020
2020-02-01,-0.017091600000000002,19.33529454210496,100,2020
2020-03-01,-0.023842090000000003,18.874300709455586,100,2020
2020-04-01,0.03827101000000001,19.596639260650168,100,2020
2020-05-01,0.038222990000000005,20.345681407143605,100,2020
2020-06-01,0.12808334000000002,22.95162423634646,100,2020
2020-07-01,0.09672387000000002,25.171594155271684,100,2020
2020-08-01,-0.01265674,24.853003832662893,100,2020
2020-09-01,-0.08598565000000002,22.716002143658883,100,2020
2020-10-01,-0.015289570000000002,22.36868423876326,100,2020
2020-11-01,0.018573230000000003,22.784142955927187,100,2020
2020-12-01,-0.010643350000000003,22.54164334799722,100,2020
2021-01-01,-0.06848559000000001,20.997865603740056,100,2021
2021-02-01,0.04435260000000002,21.9291755377165,100,2021
2021-03-01,0.011959280000000003,22.191432688141198,100,2021
2021-04-01,0.015300390000000007,22.530970262928506,100,2021
2021-05-01,0.06065848000000001,23.89766467200295,100,2021
2021-06-01,0.07802423000000001,25.762261556834183,100,2021
2021-07-01,0.03807809000000001,26.743239270998853,100,2021
2021-08-01,0.04366809,27.911065450376363,100,2021
2021-09-01,-0.011544190000000006,27.588854807714785,100,2021
2021-10-01,-0.033881810000000005,26.654094471002207,100,2021
2021-11-01,0.03765477000000001,27.65774826786607,100,2021
2021-12-01,-0.010646830000000003,27.363280923875305,100,2021
2022-01-01,-0.13712348000000005,23.611132619375905,100,2022
2022-02-01,0.09232128000000002,25.79094260504644,100,2022
2022-03-01,-0.10346922000000001,23.122373890637515,100,2022
2022-04-01,-0.17791356000000003,19.008590036103143,100,2022
2022-05-01,0.19500465000000006,22.715353483086925,100,2022
2022-06-01,0.19886252000000004,27.23258591942437,100,2022
2022-07-01,0.059210630000000014,28.845044488242614,100,2022
2022-08-01,-0.048788630000000006,27.437734285372205,100,2022
2022-09-01,-0.10833801000000001,24.465184753986208,100,2022
2022-10-01,0.08564568000000002,26.56052213856699,100,2022
2022-11-01,0.20061044000000003,31.888840171414657,100,2022
2022-12-01,-0.04135952000000001,30.56993304856823,100,2022
2023-01-01,0.09932478000000003,33.606284923232,100,2023
2023-02-01,-0.016061060000000002,33.06653236470288,100,2023
2023-03-01,-0.07922611000000003,30.44679963425837,100,2023
2023-04-01,-0.05330748000000001,28.823757471691135,100,2023
2023-05-01,0.0013201699999999992,28.86180973159254,100,2023
2023-06-01,0.05154619,30.34952605976106,100,2023
2023-07-01,0.01660363000000001,30.853438361132696,100,2023
2023-08-01,-0.02891404000000001,29.961340810221373,100,2023
2023-09-01,-0.00330454,29.862332361060364,100,2023
2023-10-01,-0.036912060000000003,28.76005215720896,100,2023
2023-11-01,0.08241143000000001,31.13020918235914,100,2023
2023-12-01,-0.013177900000000001,30.71997839877493,100,2023
2024-01-01,-0.22258382000000002,23.882208256458124,100,2024
2024-02-01,0.17840061000000007,28.142808777557295,100,2024
2024-03-01,0.05570633000000001,29.710541370446798,100,2024
2024-04-01,-0.05588315,28.050222730460913,100,2024
2024-05-01,-0.022581460000000005,27.41680774788192,100,2024
2024-06-01,-0.09040471000000001,24.9381991943089,100,2024
2024-07-01,0.08916914000000002,27.161916969614122,100,2024
2024-08-01,-0.04866235000000001,25.84015425936782,100,2024
2024-09-01,0.34577996000000005,34.775161765565855,100,2024
2024-10-01,0.19541244000000005,41.570660977569794,100,2024
2024-11-01,0.04979755000000002,43.64077804613338,100,2024
2024-12-01,-0.03493165,42.116333661698164,100,2024
2025-01-01,-0.007273560000000001,41.80999798182978,100,2025
2025-02-01,0.06295845000000001,44.44229064926891,100,2025
2025-03-01,-0.025451080000000004,43.31118635457112,100,2025
2025-04-01,-0.046780910000000016,41.2850496437247,100,2025
2025-05-01,0.052895730000000016,43.468852482715754,100,2025
2025-06-01,0.07634738000000002,46.7875854813776,100,2025
2025-07-01,0.02188147,47.8113666294608,100,2025
2025-08-01,0.12633459,53.851596029933404,100,2025
2025-09-01,-0.03875742,51.76444710493094,100,2025
2025-10-01,0.00821967,52.18993377786592,100,2025
2025-11-01,-0.035330610000000005,50.34603158163431,100,2025
2025-12-01,0.024502170000000007,51.57961860627289,100,2025
