date,strategy_return,cumulative_return
2022-02-28,0.027459046542304577,0.027459046542304577
2022-03-31,-0.043595348304651504,-0.017333388460472277
2022-04-30,-0.1291768365302829,-0.14427115270308088
2022-05-31,0.09098994565372975,-0.0664084313932054
2022-06-30,0.06862234041247173,-0.002343192966056451
2022-07-31,0.027159726354954783,0.024752892909143398
2022-08-31,-0.020420012291049727,0.0038274262406499115
2022-09-30,-0.08902578912724579,-0.08553910252799601
2022-10-31,0.03987835081243518,-0.049071910054353074
2022-11-30,0.18136710812964374,0.12339516765833469
2022-12-31,-0.025682253021422907,0.09454384871948962
2023-01-31,0.12280802493534693,0.2289626169858634
2023-02-28,0.01313396280053225,0.2451037662806006
2023-03-31,-0.06507755379612501,0.164075458948717
2023-04-30,-0.09971269622749568,0.04800235632468097
2023-05-31,-0.07084655338743084,-0.026244998562828914
2023-06-30,-0.0015854692773800139,-0.02778885720130264
2023-07-31,0.03941692154016252,0.010532713134865368
2023-08-31,-0.054622448553435565,-0.0446650579999075
2023-09-30,0.0034138147944589026,-0.041403721441244046
2023-10-31,-0.01563019464283788,-0.05638676785901742
2023-11-30,0.04087423870156637,-0.017817295366530317
2023-12-31,0.0015411582958240189,-0.01630359634326961
2024-01-31,-0.1980412188416587,-0.21111603109360477
2024-02-29,0.10969815255319526,-0.12457691712574093
2024-03-31,0.06656555204809678,-0.06630389633856915
2024-04-30,-0.11354364993437505,-0.17231915987779256
2024-05-31,-0.08103885200229877,-0.23939346498559444
2024-06-30,-0.17607064675852646,-0.3733139495343426
2024-07-31,0.0828830293448064,-0.32137231122361665
2024-08-31,0.025020136792305747,-0.30439295361938523
2024-09-30,0.22935089819497723,-0.1448548527412361
2024-10-31,0.07441179863196412,-0.08122196424231565
2024-11-30,0.05667292676593316,-0.029152123907672522
2024-12-31,-0.014104997383008744,-0.04284593065925435
2025-01-31,-0.02508588706025794,-0.06685698954200259
2025-02-28,0.06803206681445784,-0.00337334190707983
2025-03-31,-0.008957470343801233,-0.012300595640788892
2025-04-30,-0.07090857918991578,-0.0823369570706266
2025-05-31,0.11602963158296187,0.024139147717768372
2025-06-30,0.05577092686466245,0.08125633722437375
2025-07-31,0.023697788600489433,0.10687972132685641
2025-08-31,0.1101245525498189,0.2287743553644448
2025-09-30,-0.04443555982333236,0.1741730789872713
2025-10-31,0.026780951584572943,0.20561855136753837
2025-11-30,-0.009282575704471108,0.19442730589375445
2025-12-31,-0.012961949236603099,0.17894519978794698
