Date,Strategy_Return,rf_mon,Strategy_Excess_Return,mktrf,SMB,VMG,const
2011-04-01,-0.01721288,0.0026,-0.019812879999999998,-0.0151,-0.0166,0.021,1.0
2011-05-01,-0.08032002,0.0027,-0.08302002,-0.0644,-0.0045,0.0106,1.0
2011-06-01,0.03882987,0.0026,0.036229870000000004,0.0227,0.0125,0.0036,1.0
2011-07-01,0.05466236,0.0029,0.05176236,-0.0162,0.0232,-0.0068,1.0
2011-08-01,-0.01753247,0.0029,-0.02043247,-0.0488,0.018,0.0075,1.0
2011-09-01,-0.09750653,0.0028,-0.10030652999999999,-0.0922,-0.0196,0.0368,1.0
2011-10-01,0.0550664,0.0029,0.0521664,0.0403,0.0014,0.0104,1.0
2011-11-01,-0.0507941,0.0028,-0.0535941,-0.0547,0.0184,0.014,1.0
2011-12-01,-0.12579706,0.0029,-0.12869705999999997,-0.0733,-0.0744,0.0768,1.0
2012-01-01,0.06289689,0.0029,0.05999689,0.0248,-0.0356,0.0201,1.0
2012-02-01,0.19728788,0.0027,0.19458788,0.0697,0.0545,-0.0309,1.0
2012-03-01,-0.09131972,0.0029,-0.09421971999999999,-0.0703,-0.0066,0.0123,1.0
2012-04-01,0.04400774,0.0028,0.04120774,0.0546,0.0104,-0.0168,1.0
2012-05-01,0.05832086,0.0029,0.05542086,0.0006,0.0077,-0.0069,1.0
2012-06-01,-0.03195777,0.0027,-0.034657770000000004,-0.0521,-0.0031,0.0475,1.0
2012-07-01,-0.11259401,0.0025,-0.11509401,-0.0576,-0.0299,0.0492,1.0
2012-08-01,0.04351139,0.0025,0.041011389999999995,-0.0285,0.0619,-0.0084,1.0
2012-09-01,0.02718901,0.0024,0.02478901,0.0206,-0.0209,0.0015,1.0
2012-10-01,0.02380511,0.0025,0.021305110000000002,-0.0122,0.0156,0.0059,1.0
2012-11-01,-0.10704673,0.0024,-0.10944673,-0.0635,-0.0488,0.0366,1.0
2012-12-01,0.23405116,0.0025,0.23155116,0.1502,0.005,-0.009,1.0
2013-01-01,0.0568891199999999,0.0025,0.054389119999999895,0.0493,0.0227,0.0073,1.0
2013-02-01,0.05790493,0.0023,0.05560493,0.0,0.0331,0.0006,1.0
2013-03-01,-0.04023769,0.0025,-0.04273769,-0.0549,0.0224,0.0038,1.0
2013-04-01,-0.04282307,0.0024,-0.04522307,-0.025,-0.0061,0.0133,1.0
2013-05-01,0.12058147,0.0025,0.11808147,0.0779,0.0553,-0.0383,1.0
2013-06-01,-0.19154424,0.0024,-0.19394424000000002,-0.1346,-0.0168,0.0355,1.0
2013-07-01,0.03533222,0.0025,0.032832219999999995,0.0265,0.0275,-0.0296,1.0
2013-08-01,0.11473531,0.0025,0.11223530999999999,0.0499,0.0427,0.0097,1.0
2013-09-01,0.02272498,0.0024,0.02032498,0.0425,-0.0071,-0.0289,1.0
2013-10-01,-0.02437491,0.0025,-0.02687491,-0.0265,0.0126,0.0547,1.0
2013-11-01,0.05567695,0.0024,0.053276950000000003,0.0418,0.0374,-0.0279,1.0
2013-12-01,-0.04637948,0.0025,-0.04887948,-0.0458,0.018,0.034,1.0
2014-01-01,-0.02360667,0.0025,-0.02610667,-0.023,0.0322,-0.0483,1.0
2014-02-01,0.03042006,0.0023,0.02812006,0.0053,0.0433,-0.0115,1.0
2014-03-01,0.02691355,0.0025,0.024413550000000003,-0.0269,0.0175,0.0492,1.0
2014-04-01,-0.01337469,0.0024,-0.01577469,-0.0109,-0.0139,0.0191,1.0
2014-05-01,0.0309856,0.0025,0.0284856,0.0106,0.0126,-0.0327,1.0
2014-06-01,0.05802512,0.0024,0.05562512,0.0216,0.0238,-0.0219,1.0
2014-07-01,0.09323689,0.0025,0.09073689,0.0771,0.0088,0.0188,1.0
2014-08-01,0.08016764,0.0025,0.07766764,0.0119,0.0261,-0.0298,1.0
2014-09-01,0.11105716,0.0024,0.10865716,0.0696,0.0538,-0.0332,1.0
2014-10-01,-0.00741027,0.0025,-0.00991027,0.0154,0.0069,0.0264,1.0
2014-11-01,0.02944735,0.0024,0.02704735,0.0883,-0.0176,0.0476,1.0
2014-12-01,-0.06433101,0.0023,-0.06663100999999999,0.1525,-0.1735,0.1517,1.0
2015-01-01,0.13593227,0.0023,0.13363227,0.0045,0.0752,-0.0247,1.0
2015-02-01,0.0864813,0.0021,0.08438129999999999,0.0431,0.0161,-0.0306,1.0
2015-03-01,0.19889837,0.0021,0.19679837,0.1492,0.0801,-0.0446,1.0
2015-04-01,0.17326181,0.002,0.17126181,0.1601,-0.0065,-0.0091,1.0
2015-05-01,0.29523162,0.002,0.29323161999999997,0.0699,0.1773,-0.1028,1.0
2015-06-01,-0.04078533,0.0018,-0.042585330000000005,-0.0812,-0.0221,0.0876,1.0
2015-07-01,-0.18713938,0.0017,-0.18883938,-0.1461,-0.0417,0.0671,1.0
2015-08-01,-0.0912132599999999,0.0016,-0.0928132599999999,-0.1381,0.0058,0.0198,1.0
2015-09-01,-0.0170484,0.0014,-0.018448399999999997,-0.0431,0.0368,0.0225,1.0
2015-10-01,0.26356434,0.0014,0.26216434,0.1439,0.0765,-0.0595,1.0
2015-11-01,0.04310529,0.0012,0.04190529,0.0324,0.0852,-0.0004,1.0
2015-12-01,0.06732407,0.0013,0.06602407,0.0317,0.038,0.0421,1.0
2016-01-01,-0.24795743,0.0013,-0.24925743,-0.2509,-0.0523,0.0599,1.0
2016-02-01,-0.00482929,0.0012,-0.00602929,-0.022,-0.002,0.0083,1.0
2016-03-01,0.19608963,0.0013,0.19478963,0.1452,0.0677,-0.0003,1.0
2016-04-01,0.0085606599999999,0.0012,0.007360659999999901,-0.0271,0.0168,0.0102,1.0
2016-05-01,-0.0008787899999999,0.0013,-0.0021787899999999,-0.0011,-0.0071,0.0158,1.0
2016-06-01,0.06506377,0.0012,0.06386377,0.0221,0.0452,-0.0083,1.0
2016-07-01,0.0063877699999999,0.0013,0.0050877699999999,0.0115,-0.0143,0.0596,1.0
2016-08-01,0.04391659,0.0013,0.042616589999999996,0.0371,0.0056,-0.0087,1.0
2016-09-01,0.00388389,0.0012,0.0026838900000000004,-0.0254,0.0139,0.0208,1.0
2016-10-01,0.03321504,0.0013,0.03191504,0.0248,0.0139,-0.0076,1.0
2016-11-01,0.0334239,0.0012,0.0322239,0.0364,-0.0136,0.0128,1.0
2016-12-01,-0.0955752199999999,0.0013,-0.0968752199999999,-0.0565,0.0,0.0033,1.0
2017-01-01,-0.04244173,0.0013,-0.04374173,0.007,-0.0315,0.0285,1.0
2017-02-01,0.06151506,0.0011,0.06041506000000001,0.0282,0.0127,0.0034,1.0
2017-03-01,-0.03581898,0.0013,-0.03711898,-0.0084,-0.0055,0.0336,1.0
2017-04-01,-0.08083517,0.0012,-0.08203517,-0.0227,-0.0381,0.0469,1.0
2017-05-01,-0.09703763,0.0013,-0.09833763,-0.0191,-0.0516,0.0568,1.0
2017-06-01,0.06368608,0.0012,0.062486080000000006,0.0414,-0.0002,0.0266,1.0
2017-07-01,-0.03685059,0.0013,-0.038150590000000005,0.0245,-0.0125,0.0448,1.0
2017-08-01,0.09069619,0.0013,0.08939619,0.0248,-0.0037,-0.0228,1.0
2017-09-01,0.02268329,0.0012,0.02148329,0.0062,0.0093,-0.0078,1.0
2017-10-01,-0.0091548,0.0013,-0.0104548,0.0135,-0.039,0.0382,1.0
2017-11-01,-0.10984236,0.0012,-0.11104236,-0.0293,-0.0313,0.0378,1.0
2017-12-01,-0.04086113,0.0013,-0.042161130000000005,-0.0012,-0.0179,0.0229,1.0
2018-01-01,-0.03259557,0.0013,-0.03389557,0.0366,-0.0584,0.0667,1.0
2018-02-01,-0.05447929,0.0011,-0.055579289999999996,-0.0519,0.0037,0.0019,1.0
2018-03-01,0.13658897,0.0013,0.13528897,-0.0141,0.0426,-0.0666,1.0
2018-04-01,-0.06647659,0.0012,-0.06767659000000001,-0.0328,-0.0125,-0.0004,1.0
2018-05-01,-0.0060675299999999,0.0013,-0.0073675299999999,0.0027,-0.0153,0.0449,1.0
2018-06-01,-0.10527189,0.0012,-0.10647189000000001,-0.0789,-0.0286,0.0371,1.0
2018-07-01,0.02105266,0.0013,0.019752660000000002,0.009,-0.0029,0.0366,1.0
2018-08-01,-0.09814733,0.0013,-0.09944733,-0.0586,-0.026,0.0071,1.0
2018-09-01,0.01723702,0.0012,0.01603702,0.0229,-0.0301,0.0309,1.0
2018-10-01,-0.12593558,0.0013,-0.12723558,-0.0894,-0.0126,0.0255,1.0
2018-11-01,0.11190279,0.0012,0.11070279,0.0086,0.0464,-0.0316,1.0
2018-12-01,-0.05362283,0.0013,-0.054922830000000006,-0.0416,-0.0032,0.0194,1.0
2019-01-01,-0.05761373,0.0013,-0.058913730000000004,0.0288,-0.046,0.0635,1.0
2019-02-01,0.32333679,0.0011,0.32223679,0.1574,0.0504,-0.0955,1.0
2019-03-01,0.12085622,0.0013,0.11955622,0.0644,0.0423,-0.0281,1.0
2019-04-01,-0.04059413,0.0012,-0.04179413,-0.0133,-0.0229,0.0306,1.0
2019-05-01,-0.08832128,0.0013,-0.08962128,-0.0636,0.014,0.0035,1.0
2019-06-01,-0.02253239,0.0012,-0.02373239,0.0315,-0.0322,0.0398,1.0
2019-07-01,-0.0337329599999999,0.0013,-0.035032959999999905,-0.0017,-0.0311,0.0071,1.0
2019-08-01,-0.02660824,0.0013,-0.027908239999999997,-0.0077,-0.0155,-0.0363,1.0
2019-09-01,0.01504089,0.0012,0.01384089,0.0061,0.0069,0.0113,1.0
2019-10-01,-0.03407957,0.0013,-0.03537957,0.0111,-0.0218,0.0135,1.0
2019-11-01,0.01989328,0.0012,0.01869328,-0.018,-0.0081,0.0183,1.0
2019-12-01,0.0742950199999999,0.0013,0.07299501999999991,0.0686,0.0111,0.0021,1.0
2020-01-01,-0.04159864,0.0013,-0.04289864,-0.007,0.0038,-0.0306,1.0
2020-02-01,0.00128405,0.0012,8.405000000000001e-05,-0.0089,0.007,-0.0372,1.0
2020-03-01,-0.02696179,0.0013,-0.02826179,-0.0627,0.0299,0.0508,1.0
2020-04-01,-0.02961485,0.0012,-0.03081485,0.0507,-0.0406,0.0038,1.0
2020-05-01,-0.04520091,0.0013,-0.04650091,0.003,0.0164,0.0012,1.0
2020-06-01,0.05237279,0.0012,0.05117279,0.0801,-0.0183,0.0103,1.0
2020-07-01,0.09627862,0.0013,0.09497862,0.126,0.0042,0.0076,1.0
2020-08-01,0.07223512,0.0013,0.07093512,0.0199,0.022,0.017,1.0
2020-09-01,-0.06147606,0.0012,-0.06267606,-0.0579,-0.0219,0.011,1.0
2020-10-01,-0.01771847,0.0013,-0.01901847,0.0086,-0.0184,0.0124,1.0
2020-11-01,0.03870813,0.0012,0.03750813,0.0365,-0.013,0.0463,1.0
2020-12-01,-0.06101684,0.0013,-0.062316840000000005,0.0299,-0.0923,-0.0472,1.0
2021-01-01,-0.11709056,0.0013,-0.11839055999999999,0.0034,-0.0957,0.0336,1.0
2021-02-01,0.07499183,0.0013,0.07369183,-0.0044,0.0529,0.0643,1.0
2021-03-01,0.02201924,0.0013,0.02071924,-0.0293,0.0588,0.0487,1.0
2021-04-01,0.01272422,0.0013,0.011424219999999999,0.0177,-0.0286,-0.0417,1.0
2021-05-01,0.0673631099999999,0.0013,0.06606310999999991,0.0505,0.0075,-0.0335,1.0
2021-06-01,0.10776805,0.0013,0.10646805000000001,0.0079,0.0164,-0.046,1.0
2021-07-01,-0.05523066,0.0013,-0.05653066,-0.041,0.0454,-0.0354,1.0
2021-08-01,0.01440249,0.0013,0.013102490000000001,0.0285,0.0484,0.068,1.0
2021-09-01,0.03731401,0.0013,0.03601401,-0.0036,-0.0135,0.0494,1.0
2021-10-01,-0.00833911,0.0013,-0.00963911,-0.0027,-0.0319,-0.0433,1.0
2021-11-01,0.06286299,0.0013,0.06156298999999999,0.0196,0.1152,-0.038,1.0
2021-12-01,0.0728765,0.0013,0.0715765,0.0101,0.0367,0.0507,1.0
2022-01-01,-0.11172428,0.0013,-0.11302427999999999,-0.0917,-0.0047,0.0506,1.0
2022-02-01,0.06256065,0.0011,0.06146065,0.0254,0.0317,0.0233,1.0
2022-03-01,-0.06010272,0.0013,-0.06140272,-0.076,0.0353,0.0277,1.0
2022-04-01,-0.16467696,0.0012,-0.16587696000000002,-0.0812,-0.0813,0.0474,1.0
2022-05-01,0.1715987,0.0013,0.1702987,0.0526,0.0596,-0.0289,1.0
2022-06-01,0.12618489,0.0012,0.12498488999999999,0.0881,-0.0195,-0.0268,1.0
2022-07-01,0.06975437,0.0013,0.06845437,-0.031,0.0685,-0.011,1.0
2022-08-01,0.00381359,0.0013,0.00251359,-0.0254,-0.0127,0.0245,1.0
2022-09-01,-0.10748226,0.0012,-0.10868226,-0.0679,-0.027,0.0226,1.0
2022-10-01,0.06746801,0.0013,0.06616801,-0.0355,0.0661,-0.0506,1.0
2022-11-01,0.20879353,0.0012,0.20759353,0.0787,-0.0001,0.0038,1.0
2022-12-01,-0.00607166,0.0013,-0.00737166,-0.0207,-0.0203,0.0046,1.0
2023-01-01,0.12725212,0.0013,0.12595212,0.0645,0.013,0.0121,1.0
2023-02-01,0.01478539,0.0011,0.01368539,0.0008,0.0382,0.0041,1.0
2023-03-01,-0.05774784,0.0013,-0.059047840000000004,-0.0043,-0.0147,-0.0086,1.0
2023-04-01,-0.09954124,0.0012,-0.10074124000000001,-0.0034,-0.0301,0.0341,1.0
2023-05-01,-0.05354881,0.0013,-0.054848810000000005,-0.0344,0.033,-0.0103,1.0
2023-06-01,0.05438284,0.0012,0.05318284,0.0104,0.0226,0.0237,1.0
2023-07-01,0.09153175,0.0013,0.09023175,0.0252,-0.0196,0.0397,1.0
2023-08-01,-0.07466113,0.0013,-0.07596113,-0.057,0.0082,0.003,1.0
2023-09-01,0.0044023399999999,0.0012,0.0032023399999999,-0.0111,0.0147,0.0182,1.0
2023-10-01,-0.02052363,0.0013,-0.02182363,-0.0275,0.0145,-0.0291,1.0
2023-11-01,0.0362646,0.0012,0.0350646,0.0002,0.0388,-0.0151,1.0
2023-12-01,-0.00704124,0.0013,-0.00834124,-0.0219,-0.0017,0.0267,1.0
2024-01-01,-0.18388927,0.0013,-0.18518927,-0.0978,-0.0769,0.1214,1.0
2024-02-01,0.08722701,0.0012,0.08602700999999999,0.0935,-0.0531,-0.0236,1.0
2024-03-01,0.05848629,0.0013,0.05718629,0.0098,0.0457,0.0332,1.0
2024-04-01,-0.11449367,0.0012,-0.11569367000000001,0.016,-0.0327,0.0601,1.0
2024-05-01,-0.10220294,0.0013,-0.10350294,-0.0098,-0.0025,0.0328,1.0
2024-06-01,-0.18635151,0.0012,-0.18755151,-0.0421,-0.0534,0.0348,1.0
2024-07-01,0.10955876,0.0013,0.10825876000000001,-0.002,-0.0039,-0.0205,1.0
2024-08-01,0.03165391,0.0013,0.03035391,-0.0368,0.0034,0.0259,1.0
